##Databases: KEGG PATHWAY, Gene Ontology								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
mitochondrial respiratory chain complex III	Gene Ontology	GO:0005750	1	29	0.256494008648	0.520297432051	Barthea22867	http://amigo.geneontology.org/amigo/term/GO:0005750
signaling receptor binding	Gene Ontology	GO:0005102	1	29	0.256494008648	0.520297432051	Barthea20838	http://amigo.geneontology.org/amigo/term/GO:0005102
ribosomal large subunit biogenesis	Gene Ontology	GO:0042273	1	29	0.256494008648	0.520297432051	Barthea13825	http://amigo.geneontology.org/amigo/term/GO:0042273
microtubule binding	Gene Ontology	GO:0008017	4	258	0.257757901974	0.521510173761	Barthea20980|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0008017
protein storage vacuole	Gene Ontology	GO:0000326	1	30	0.263805847262	0.528286389786	Barthea41261	http://amigo.geneontology.org/amigo/term/GO:0000326
RNA polymerase II complex binding	Gene Ontology	GO:0000993	1	30	0.263805847262	0.528286389786	Barthea22858	http://amigo.geneontology.org/amigo/term/GO:0000993
proteasome core complex, alpha-subunit complex	Gene Ontology	GO:0019773	1	30	0.263805847262	0.528286389786	Barthea37782	http://amigo.geneontology.org/amigo/term/GO:0019773
inositol hexakisphosphate binding	Gene Ontology	GO:0000822	1	30	0.263805847262	0.528286389786	Barthea22866	http://amigo.geneontology.org/amigo/term/GO:0000822
calcium-mediated signaling	Gene Ontology	GO:0019722	2	100	0.265114303267	0.529552294537	Barthea25095|Barthea37789	http://amigo.geneontology.org/amigo/term/GO:0019722
chloroplast stroma	Gene Ontology	GO:0009570	15	1254	0.269083011474	0.536111954159	Barthea41251|Barthea39513|Barthea39558|Barthea37775|Barthea39533|Barthea12145|Barthea20969|Barthea12181|Barthea20993|Barthea30114|Barthea37786|Barthea37787|Barthea20971|Barthea20970|Barthea41252	http://amigo.geneontology.org/amigo/term/GO:0009570
regulation of phenylpropanoid metabolic process	Gene Ontology	GO:2000762	1	31	0.271045951681	0.537288557383	Barthea29229	http://amigo.geneontology.org/amigo/term/GO:2000762
L-phenylalanine biosynthetic process	Gene Ontology	GO:0009094	1	31	0.271045951681	0.537288557383	Barthea13812	http://amigo.geneontology.org/amigo/term/GO:0009094
mitochondrial large ribosomal subunit	Gene Ontology	GO:0005762	1	32	0.278215023976	0.54055177115	Barthea22833	http://amigo.geneontology.org/amigo/term/GO:0005762
cytokinin metabolic process	Gene Ontology	GO:0009690	1	32	0.278215023976	0.54055177115	Barthea22907	http://amigo.geneontology.org/amigo/term/GO:0009690
cell fate commitment	Gene Ontology	GO:0045165	1	32	0.278215023976	0.54055177115	Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0045165
-	Gene Ontology	GO:0009870	1	32	0.278215023976	0.54055177115	Barthea13803	http://amigo.geneontology.org/amigo/term/GO:0009870
programmed cell death	Gene Ontology	GO:0012501	1	32	0.278215023976	0.54055177115	Barthea22848	http://amigo.geneontology.org/amigo/term/GO:0012501
Golgi to plasma membrane transport	Gene Ontology	GO:0006893	1	32	0.278215023976	0.54055177115	Barthea39534	http://amigo.geneontology.org/amigo/term/GO:0006893
regulation of gene expression, epigenetic	Gene Ontology	GO:0040029	1	32	0.278215023976	0.54055177115	Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0040029
pyridoxal phosphate binding	Gene Ontology	GO:0030170	3	184	0.279170375198	0.541065355891	Barthea12182|Barthea41251|Barthea41252	http://amigo.geneontology.org/amigo/term/GO:0030170
transferase activity, transferring glycosyl groups	Gene Ontology	GO:0016757	9	712	0.280450161686	0.542203645926	Barthea29240|Barthea25072|Barthea25071|Barthea29221|Barthea37790|Barthea12149|Barthea22895|Barthea41236|Barthea22912	http://amigo.geneontology.org/amigo/term/GO:0016757
defense response to insect	Gene Ontology	GO:0002213	1	33	0.285313759363	0.550247964486	Barthea22842	http://amigo.geneontology.org/amigo/term/GO:0002213
anaphase-promoting complex-dependent catabolic process	Gene Ontology	GO:0031145	1	34	0.29234284627	0.559317953921	Barthea29242	http://amigo.geneontology.org/amigo/term/GO:0031145
anaphase-promoting complex	Gene Ontology	GO:0005680	1	35	0.299302966402	0.559317953921	Barthea29242	http://amigo.geneontology.org/amigo/term/GO:0005680
N-acylphosphatidylethanolamine-specific phospholipase D activity	Gene Ontology	GO:0070290	1	35	0.299302966402	0.559317953921	Barthea25073	http://amigo.geneontology.org/amigo/term/GO:0070290
proton-transporting ATPase activity, rotational mechanism	Gene Ontology	GO:0046961	1	35	0.299302966402	0.559317953921	Barthea22889	http://amigo.geneontology.org/amigo/term/GO:0046961
cell-cell signaling involved in cell fate commitment	Gene Ontology	GO:0045168	1	35	0.299302966402	0.559317953921	Barthea20834	http://amigo.geneontology.org/amigo/term/GO:0045168
histidine phosphotransfer kinase activity	Gene Ontology	GO:0009927	1	35	0.299302966402	0.559317953921	Barthea25076	http://amigo.geneontology.org/amigo/term/GO:0009927
lateral root morphogenesis	Gene Ontology	GO:0010102	1	35	0.299302966402	0.559317953921	Barthea20838	http://amigo.geneontology.org/amigo/term/GO:0010102
endosome transport via multivesicular body sorting pathway	Gene Ontology	GO:0032509	1	35	0.299302966402	0.559317953921	Barthea29247	http://amigo.geneontology.org/amigo/term/GO:0032509
positive regulation of catalytic activity	Gene Ontology	GO:0043085	1	35	0.299302966402	0.559317953921	Barthea39558	http://amigo.geneontology.org/amigo/term/GO:0043085
phospholipase D activity	Gene Ontology	GO:0004630	1	35	0.299302966402	0.559317953921	Barthea25073	http://amigo.geneontology.org/amigo/term/GO:0004630
regulation of programmed cell death	Gene Ontology	GO:0043067	1	35	0.299302966402	0.559317953921	Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0043067
ESCRT III complex	Gene Ontology	GO:0000815	1	35	0.299302966402	0.559317953921	Barthea29247	http://amigo.geneontology.org/amigo/term/GO:0000815
calcium ion binding	Gene Ontology	GO:0005509	5	368	0.305522812532	0.566786109543	Barthea25073|Barthea39495|Barthea37789|Barthea39535|Barthea25085	http://amigo.geneontology.org/amigo/term/GO:0005509
amino acid transmembrane transport	Gene Ontology	GO:0003333	1	36	0.306194794811	0.566786109543	Barthea25092	http://amigo.geneontology.org/amigo/term/GO:0003333
cell wall pectin biosynthetic process	Gene Ontology	GO:0052325	1	36	0.306194794811	0.566786109543	Barthea22856	http://amigo.geneontology.org/amigo/term/GO:0052325
seed dormancy process	Gene Ontology	GO:0010162	1	37	0.313018999954	0.567765983822	Barthea22894	http://amigo.geneontology.org/amigo/term/GO:0010162
photosystem II assembly	Gene Ontology	GO:0010207	1	37	0.313018999954	0.567765983822	Barthea39513	http://amigo.geneontology.org/amigo/term/GO:0010207
response to light intensity	Gene Ontology	GO:0009642	1	37	0.313018999954	0.567765983822	Barthea41253	http://amigo.geneontology.org/amigo/term/GO:0009642
integral component of mitochondrial inner membrane	Gene Ontology	GO:0031305	1	37	0.313018999954	0.567765983822	Barthea22890	http://amigo.geneontology.org/amigo/term/GO:0031305
secondary shoot formation	Gene Ontology	GO:0010223	1	37	0.313018999954	0.567765983822	Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0010223
methionine biosynthetic process	Gene Ontology	GO:0009086	1	37	0.313018999954	0.567765983822	Barthea13815	http://amigo.geneontology.org/amigo/term/GO:0009086
sister chromatid cohesion	Gene Ontology	GO:0007062	1	37	0.313018999954	0.567765983822	Barthea22834	http://amigo.geneontology.org/amigo/term/GO:0007062
amino acid transmembrane transporter activity	Gene Ontology	GO:0015171	2	114	0.315888804198	0.567765983822	Barthea12169|Barthea25092	http://amigo.geneontology.org/amigo/term/GO:0015171
GTPase activator activity	Gene Ontology	GO:0005096	2	114	0.315888804198	0.567765983822	Barthea29248|Barthea25073	http://amigo.geneontology.org/amigo/term/GO:0005096
plasmodesma	Gene Ontology	GO:0009506	22	1971	0.318171163368	0.567765983822	Barthea12188|Barthea13815|Barthea13810|Barthea20992|Barthea29164|Barthea25073|Barthea37803|Barthea20968|Barthea13825|Barthea39507|Barthea20966|Barthea41263|Barthea39520|Barthea39522|Barthea20980|Barthea20981|Barthea29236|Barthea29233|Barthea20979|Barthea20975|Barthea41257|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0009506
DNA endoreduplication	Gene Ontology	GO:0042023	1	38	0.319776243762	0.567765983822	Barthea20831	http://amigo.geneontology.org/amigo/term/GO:0042023
enzyme activator activity	Gene Ontology	GO:0008047	1	38	0.319776243762	0.567765983822	Barthea39558	http://amigo.geneontology.org/amigo/term/GO:0008047
inward rectifier potassium channel activity	Gene Ontology	GO:0005242	1	38	0.319776243762	0.567765983822	Barthea41244	http://amigo.geneontology.org/amigo/term/GO:0005242
plasmodesmata-mediated intercellular transport	Gene Ontology	GO:0010497	1	38	0.319776243762	0.567765983822	Barthea41257	http://amigo.geneontology.org/amigo/term/GO:0010497
efflux transmembrane transporter activity	Gene Ontology	GO:0015562	1	38	0.319776243762	0.567765983822	Barthea39536	http://amigo.geneontology.org/amigo/term/GO:0015562
basipetal auxin transport	Gene Ontology	GO:0010540	1	38	0.319776243762	0.567765983822	Barthea22916	http://amigo.geneontology.org/amigo/term/GO:0010540
jasmonic acid metabolic process	Gene Ontology	GO:0009694	1	38	0.319776243762	0.567765983822	Barthea22842	http://amigo.geneontology.org/amigo/term/GO:0009694
cis-regulatory region sequence-specific DNA binding	Gene Ontology	GO:0000987	1	38	0.319776243762	0.567765983822	Barthea22894	http://amigo.geneontology.org/amigo/term/GO:0000987
extracellular region	Gene Ontology	GO:0005576	39	3623	0.322941487791	0.568433436041	Barthea29163|Barthea41274|Barthea20953|Barthea29166|Barthea25082|Barthea13815|Barthea39556|Barthea39553|Barthea12145|Barthea12146|Barthea29241|Barthea22842|Barthea29188|Barthea29222|Barthea29223|Barthea29185|Barthea29221|Barthea29224|Barthea29169|Barthea22881|Barthea20828|Barthea29168|Barthea22889|Barthea20841|Barthea20825|Barthea41265|Barthea41261|Barthea29170|Barthea12171|Barthea12154|Barthea29234|Barthea20827|Barthea29239|Barthea29238|Barthea20838|Barthea41238|Barthea41259|Barthea20975|Barthea41257	http://amigo.geneontology.org/amigo/term/GO:0005576
fatty acid binding	Gene Ontology	GO:0005504	1	39	0.326467181703	0.568433436041	Barthea20975	http://amigo.geneontology.org/amigo/term/GO:0005504
zinc ion transmembrane transport	Gene Ontology	GO:0071577	1	39	0.326467181703	0.568433436041	Barthea29251	http://amigo.geneontology.org/amigo/term/GO:0071577
pattern recognition receptor signaling pathway	Gene Ontology	GO:0002221	1	39	0.326467181703	0.568433436041	Barthea22861	http://amigo.geneontology.org/amigo/term/GO:0002221
aerobic respiration	Gene Ontology	GO:0009060	1	39	0.326467181703	0.568433436041	Barthea22867	http://amigo.geneontology.org/amigo/term/GO:0009060
phospholipid biosynthetic process	Gene Ontology	GO:0008654	1	39	0.326467181703	0.568433436041	Barthea39511	http://amigo.geneontology.org/amigo/term/GO:0008654
plant ovule development	Gene Ontology	GO:0048481	2	117	0.326685882782	0.568433436041	Barthea37805|Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0048481
regulation of seed germination	Gene Ontology	GO:0010029	2	117	0.326685882782	0.568433436041	Barthea25098|Barthea39501	http://amigo.geneontology.org/amigo/term/GO:0010029
stromule	Gene Ontology	GO:0010319	2	118	0.330275068226	0.573404386742	Barthea37786|Barthea37787	http://amigo.geneontology.org/amigo/term/GO:0010319
defense response to Gram-negative bacterium	Gene Ontology	GO:0050829	1	40	0.333092462843	0.575742601338	Barthea20838	http://amigo.geneontology.org/amigo/term/GO:0050829
mannan synthase activity	Gene Ontology	GO:0051753	1	40	0.333092462843	0.575742601338	Barthea22895	http://amigo.geneontology.org/amigo/term/GO:0051753
transmembrane transport	Gene Ontology	GO:0055085	9	752	0.334056759598	0.576137539131	Barthea29250|Barthea29245|Barthea29233|Barthea39557|Barthea13817|Barthea39536|Barthea20839|Barthea12169|Barthea13819	http://amigo.geneontology.org/amigo/term/GO:0055085
maturation of LSU-rRNA	Gene Ontology	GO:0000470	1	41	0.339652729911	0.580672680175	Barthea22855	http://amigo.geneontology.org/amigo/term/GO:0000470
small ribosomal subunit	Gene Ontology	GO:0015935	1	41	0.339652729911	0.580672680175	Barthea30099	http://amigo.geneontology.org/amigo/term/GO:0015935
nucleoside metabolic process	Gene Ontology	GO:0009116	1	41	0.339652729911	0.580672680175	Barthea22838	http://amigo.geneontology.org/amigo/term/GO:0009116
polysaccharide binding	Gene Ontology	GO:0030247	1	41	0.339652729911	0.580672680175	Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0030247
positive regulation of abscisic acid-activated signaling pathway	Gene Ontology	GO:0009789	2	121	0.341009647409	0.581722339698	Barthea25073|Barthea41244	http://amigo.geneontology.org/amigo/term/GO:0009789
auxin-activated signaling pathway	Gene Ontology	GO:0009734	2	122	0.344576060727	0.583659061717	Barthea22866|Barthea29244	http://amigo.geneontology.org/amigo/term/GO:0009734
pectate lyase activity	Gene Ontology	GO:0030570	1	42	0.346148619358	0.583659061717	Barthea22881	http://amigo.geneontology.org/amigo/term/GO:0030570
GPI anchor biosynthetic process	Gene Ontology	GO:0006506	1	42	0.346148619358	0.583659061717	Barthea37797	http://amigo.geneontology.org/amigo/term/GO:0006506
regulation of unidimensional cell growth	Gene Ontology	GO:0051510	1	43	0.35258076142	0.583659061717	Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0051510
response to desiccation	Gene Ontology	GO:0009269	1	43	0.35258076142	0.583659061717	Barthea29164	http://amigo.geneontology.org/amigo/term/GO:0009269
ATPase-coupled xenobiotic transmembrane transporter activity	Gene Ontology	GO:0008559	1	43	0.35258076142	0.583659061717	Barthea39557	http://amigo.geneontology.org/amigo/term/GO:0008559
pollen maturation	Gene Ontology	GO:0010152	1	43	0.35258076142	0.583659061717	Barthea22866	http://amigo.geneontology.org/amigo/term/GO:0010152
cell fate specification	Gene Ontology	GO:0001708	1	43	0.35258076142	0.583659061717	Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0001708
methylated histone binding	Gene Ontology	GO:0035064	1	43	0.35258076142	0.583659061717	Barthea41269	http://amigo.geneontology.org/amigo/term/GO:0035064
CoA-ligase activity	Gene Ontology	GO:0016405	1	43	0.35258076142	0.583659061717	Barthea22831	http://amigo.geneontology.org/amigo/term/GO:0016405
methyltransferase activity	Gene Ontology	GO:0008168	1	43	0.35258076142	0.583659061717	Barthea41248	http://amigo.geneontology.org/amigo/term/GO:0008168
4-coumarate-CoA ligase activity	Gene Ontology	GO:0016207	1	43	0.35258076142	0.583659061717	Barthea22831	http://amigo.geneontology.org/amigo/term/GO:0016207
vesicle-mediated transport	Gene Ontology	GO:0016192	4	302	0.354370319371	0.585383881999	Barthea13804|Barthea41239|Barthea25067|Barthea29247	http://amigo.geneontology.org/amigo/term/GO:0016192
brassinosteroid mediated signaling pathway	Gene Ontology	GO:0009742	2	125	0.355236797636	0.585579815892	Barthea37805|Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0009742
transmembrane receptor protein tyrosine kinase activity	Gene Ontology	GO:0004714	1	44	0.358949780179	0.589219450483	Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0004714
zinc ion transmembrane transporter activity	Gene Ontology	GO:0005385	1	44	0.358949780179	0.589219450483	Barthea29251	http://amigo.geneontology.org/amigo/term/GO:0005385
protein kinase activity	Gene Ontology	GO:0004672	10	866	0.360364643365	0.590304426265	Barthea20846|Barthea12174|Barthea20968|Barthea39551|Barthea20966|Barthea20981|Barthea20845|Barthea29231|Barthea22916|Barthea22861	http://amigo.geneontology.org/amigo/term/GO:0004672
endosome	Gene Ontology	GO:0005768	8	679	0.363781641267	0.590900160961	Barthea12171|Barthea12174|Barthea13804|Barthea39535|Barthea41239|Barthea39546|Barthea22895|Barthea12156	http://amigo.geneontology.org/amigo/term/GO:0005768
tRNA binding	Gene Ontology	GO:0000049	1	45	0.365256293621	0.590900160961	Barthea22830	http://amigo.geneontology.org/amigo/term/GO:0000049
enzyme inhibitor activity	Gene Ontology	GO:0004857	1	45	0.365256293621	0.590900160961	Barthea20986	http://amigo.geneontology.org/amigo/term/GO:0004857
auxin efflux	Gene Ontology	GO:0010315	1	45	0.365256293621	0.590900160961	Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0010315
tRNA modification	Gene Ontology	GO:0006400	1	45	0.365256293621	0.590900160961	Barthea22836	http://amigo.geneontology.org/amigo/term/GO:0006400
nucleotide-excision repair	Gene Ontology	GO:0006289	1	45	0.365256293621	0.590900160961	Barthea41268	http://amigo.geneontology.org/amigo/term/GO:0006289
plant-type vacuole	Gene Ontology	GO:0000325	2	129	0.369353342055	0.593643296783	Barthea39557|Barthea22889	http://amigo.geneontology.org/amigo/term/GO:0000325
carpel development	Gene Ontology	GO:0048440	1	46	0.371500913695	0.593643296783	Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0048440
amino acid transport	Gene Ontology	GO:0006865	1	46	0.371500913695	0.593643296783	Barthea12169	http://amigo.geneontology.org/amigo/term/GO:0006865
phosphorylation of RNA polymerase II C-terminal domain	Gene Ontology	GO:0070816	1	46	0.371500913695	0.593643296783	Barthea12147	http://amigo.geneontology.org/amigo/term/GO:0070816
primary shoot apical meristem specification	Gene Ontology	GO:0010072	1	46	0.371500913695	0.593643296783	Barthea29244	http://amigo.geneontology.org/amigo/term/GO:0010072
auxin efflux transmembrane transporter activity	Gene Ontology	GO:0010329	1	46	0.371500913695	0.593643296783	Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0010329
thylakoid	Gene Ontology	GO:0009579	5	403	0.373028343685	0.594640363186	Barthea30114|Barthea37787|Barthea37786|Barthea37776|Barthea39558	http://amigo.geneontology.org/amigo/term/GO:0009579
apoplast	Gene Ontology	GO:0048046	7	591	0.373643753113	0.594640363186	Barthea13815|Barthea20838|Barthea41238|Barthea37786|Barthea37787|Barthea20986|Barthea20834	http://amigo.geneontology.org/amigo/term/GO:0048046
early endosome	Gene Ontology	GO:0005769	1	47	0.377684246377	0.597427807906	Barthea12156	http://amigo.geneontology.org/amigo/term/GO:0005769
enzyme regulator activity	Gene Ontology	GO:0030234	1	47	0.377684246377	0.597427807906	Barthea37789	http://amigo.geneontology.org/amigo/term/GO:0030234
regulation of shoot system development	Gene Ontology	GO:0048831	1	47	0.377684246377	0.597427807906	Barthea20832	http://amigo.geneontology.org/amigo/term/GO:0048831
cytosolic large ribosomal subunit	Gene Ontology	GO:0022625	3	222	0.380692541481	0.598647004417	Barthea13825|Barthea22855|Barthea41254	http://amigo.geneontology.org/amigo/term/GO:0022625
ubiquitin-dependent protein catabolic process	Gene Ontology	GO:0006511	6	502	0.382649017733	0.598647004417	Barthea22906|Barthea12188|Barthea22904|Barthea22905|Barthea37782|Barthea37788	http://amigo.geneontology.org/amigo/term/GO:0006511
lipid binding	Gene Ontology	GO:0008289	2	133	0.383346512738	0.598647004417	Barthea13824|Barthea29172	http://amigo.geneontology.org/amigo/term/GO:0008289
pectin biosynthetic process	Gene Ontology	GO:0045489	1	48	0.383806891721	0.598647004417	Barthea37790	http://amigo.geneontology.org/amigo/term/GO:0045489
lyase activity	Gene Ontology	GO:0016829	1	48	0.383806891721	0.598647004417	Barthea22881	http://amigo.geneontology.org/amigo/term/GO:0016829
ion channel activity	Gene Ontology	GO:0005216	1	48	0.383806891721	0.598647004417	Barthea39514	http://amigo.geneontology.org/amigo/term/GO:0005216
root epidermal cell differentiation	Gene Ontology	GO:0010053	1	48	0.383806891721	0.598647004417	Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0010053
polygalacturonate 4-alpha-galacturonosyltransferase activity	Gene Ontology	GO:0047262	1	49	0.389869443921	0.606894184077	Barthea37790	http://amigo.geneontology.org/amigo/term/GO:0047262
organic anion transmembrane transporter activity	Gene Ontology	GO:0008514	1	50	0.395872491369	0.613798338103	Barthea39546	http://amigo.geneontology.org/amigo/term/GO:0008514
positive regulation of transcription elongation from RNA polymerase II promoter	Gene Ontology	GO:0032968	1	50	0.395872491369	0.613798338103	Barthea12147	http://amigo.geneontology.org/amigo/term/GO:0032968
mRNA binding	Gene Ontology	GO:0003729	19	1770	0.397506210299	0.614496896253	Barthea13825|Barthea22855|Barthea39520|Barthea29239|Barthea39522|Barthea20969|Barthea13810|Barthea29238|Barthea37803|Barthea20970|Barthea22890|Barthea30114|Barthea22833|Barthea20993|Barthea13815|Barthea41254|Barthea20971|Barthea12144|Barthea20836	http://amigo.geneontology.org/amigo/term/GO:0003729
response to abscisic acid	Gene Ontology	GO:0009737	10	895	0.398340153241	0.614496896253	Barthea39528|Barthea29250|Barthea29230|Barthea13822|Barthea25073|Barthea29239|Barthea29238|Barthea37793|Barthea37795|Barthea29164	http://amigo.geneontology.org/amigo/term/GO:0009737
response to salt stress	Gene Ontology	GO:0009651	9	800	0.400386419034	0.614496896253	Barthea29176|Barthea39528|Barthea29164|Barthea37795|Barthea22909|Barthea37793|Barthea22890|Barthea41238|Barthea13820	http://amigo.geneontology.org/amigo/term/GO:0009651
hyperosmotic salinity response	Gene Ontology	GO:0042538	2	138	0.400646886541	0.614496896253	Barthea12156|Barthea29250	http://amigo.geneontology.org/amigo/term/GO:0042538
phospholipase activity	Gene Ontology	GO:0004620	1	51	0.401816616707	0.614496896253	Barthea25073	http://amigo.geneontology.org/amigo/term/GO:0004620
chromatin silencing	Gene Ontology	GO:0006342	1	51	0.401816616707	0.614496896253	Barthea37784	http://amigo.geneontology.org/amigo/term/GO:0006342
DNA mediated transformation	Gene Ontology	GO:0009294	1	51	0.401816616707	0.614496896253	Barthea41248	http://amigo.geneontology.org/amigo/term/GO:0009294
endosperm development	Gene Ontology	GO:0009960	1	52	0.407702396888	0.619865974297	Barthea22894	http://amigo.geneontology.org/amigo/term/GO:0009960
floral meristem determinacy	Gene Ontology	GO:0010582	1	52	0.407702396888	0.619865974297	Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0010582
phospholipid catabolic process	Gene Ontology	GO:0009395	1	52	0.407702396888	0.619865974297	Barthea25073	http://amigo.geneontology.org/amigo/term/GO:0009395
DNA replication	Gene Ontology	GO:0006260	1	53	0.413530403227	0.623881128568	Barthea22848	http://amigo.geneontology.org/amigo/term/GO:0006260
response to freezing	Gene Ontology	GO:0050826	1	53	0.413530403227	0.623881128568	Barthea22894	http://amigo.geneontology.org/amigo/term/GO:0050826
RNA polymerase II CTD heptapeptide repeat kinase activity	Gene Ontology	GO:0008353	1	53	0.413530403227	0.623881128568	Barthea12147	http://amigo.geneontology.org/amigo/term/GO:0008353
calcium channel activity	Gene Ontology	GO:0005262	1	53	0.413530403227	0.623881128568	Barthea25095	http://amigo.geneontology.org/amigo/term/GO:0005262
multivesicular body	Gene Ontology	GO:0005771	1	54	0.419301201461	0.628951802191	Barthea29247	http://amigo.geneontology.org/amigo/term/GO:0005771
ethylene biosynthetic process	Gene Ontology	GO:0009693	1	54	0.419301201461	0.628951802191	Barthea29175	http://amigo.geneontology.org/amigo/term/GO:0009693
structural molecule activity	Gene Ontology	GO:0005198	1	54	0.419301201461	0.628951802191	Barthea25067	http://amigo.geneontology.org/amigo/term/GO:0005198
lateral root development	Gene Ontology	GO:0048527	2	144	0.421100561367	0.629086995194	Barthea22866|Barthea29244	http://amigo.geneontology.org/amigo/term/GO:0048527
intracellular anatomical structure	Gene Ontology	GO:0005622	3	238	0.422754160384	0.629086995194	Barthea39520|Barthea39522|Barthea37803	http://amigo.geneontology.org/amigo/term/GO:0005622
nucleic acid binding	Gene Ontology	GO:0003676	3	238	0.422754160384	0.629086995194	Barthea37781|Barthea39559|Barthea13809	http://amigo.geneontology.org/amigo/term/GO:0003676
ribosomal small subunit assembly	Gene Ontology	GO:0000028	1	55	0.425015351798	0.629086995194	Barthea13810	http://amigo.geneontology.org/amigo/term/GO:0000028
defense response, incompatible interaction	Gene Ontology	GO:0009814	1	55	0.425015351798	0.629086995194	Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0009814
poly(U) RNA binding	Gene Ontology	GO:0008266	1	55	0.425015351798	0.629086995194	Barthea39549	http://amigo.geneontology.org/amigo/term/GO:0008266
activation of GTPase activity	Gene Ontology	GO:0090630	1	55	0.425015351798	0.629086995194	Barthea29248	http://amigo.geneontology.org/amigo/term/GO:0090630
regulation of cell division	Gene Ontology	GO:0051302	1	56	0.430673408975	0.63552484544	Barthea39512	http://amigo.geneontology.org/amigo/term/GO:0051302
negative regulation of transcription, DNA-templated	Gene Ontology	GO:0045892	5	433	0.430988113574	0.63552484544	Barthea37805|Barthea20831|Barthea29229|Barthea22894|Barthea39509	http://amigo.geneontology.org/amigo/term/GO:0045892
gametophyte development	Gene Ontology	GO:0048229	1	58	0.441823435749	0.647842228823	Barthea12145	http://amigo.geneontology.org/amigo/term/GO:0048229
cellulose synthase (UDP-forming) activity	Gene Ontology	GO:0016760	1	58	0.441823435749	0.647842228823	Barthea22895	http://amigo.geneontology.org/amigo/term/GO:0016760
polarity specification of adaxial/abaxial axis	Gene Ontology	GO:0009944	1	58	0.441823435749	0.647842228823	Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0009944
DNA repair	Gene Ontology	GO:0006281	3	246	0.443427168405	0.647876585836	Barthea12167|Barthea12166|Barthea22848	http://amigo.geneontology.org/amigo/term/GO:0006281
nucleolus	Gene Ontology	GO:0005730	9	831	0.443501724148	0.647876585836	Barthea29176|Barthea20998|Barthea20964|Barthea41244|Barthea39550|Barthea20995|Barthea22898|Barthea20999|Barthea22916	http://amigo.geneontology.org/amigo/term/GO:0005730
cyclin-dependent protein serine/threonine kinase activity	Gene Ontology	GO:0004693	1	59	0.447316487934	0.650518101182	Barthea12147	http://amigo.geneontology.org/amigo/term/GO:0004693
spliceosomal complex	Gene Ontology	GO:0005681	1	59	0.447316487934	0.650518101182	Barthea12150	http://amigo.geneontology.org/amigo/term/GO:0005681
shoot system development	Gene Ontology	GO:0048367	2	152	0.447802371057	0.650518101182	Barthea12156|Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0048367
double-strand break repair	Gene Ontology	GO:0006302	1	60	0.452755612236	0.653414693497	Barthea22834	http://amigo.geneontology.org/amigo/term/GO:0006302
phosphorelay signal transduction system	Gene Ontology	GO:0000160	1	60	0.452755612236	0.653414693497	Barthea25076	http://amigo.geneontology.org/amigo/term/GO:0000160
lignin biosynthetic process	Gene Ontology	GO:0009809	2	154	0.454369676988	0.653414693497	Barthea22889|Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0009809
plastoglobule	Gene Ontology	GO:0010287	2	154	0.454369676988	0.653414693497	Barthea29174|Barthea20835	http://amigo.geneontology.org/amigo/term/GO:0010287
cell wall	Gene Ontology	GO:0005618	9	840	0.45596893776	0.653414693497	Barthea29222|Barthea29223|Barthea13810|Barthea39553|Barthea22890|Barthea20828|Barthea12154|Barthea20827|Barthea20825	http://amigo.geneontology.org/amigo/term/GO:0005618
positive regulation of seed germination	Gene Ontology	GO:0010030	1	61	0.45814133682	0.653414693497	Barthea29230	http://amigo.geneontology.org/amigo/term/GO:0010030
proton-exporting ATPase activity, phosphorylative mechanism	Gene Ontology	GO:0008553	1	61	0.45814133682	0.653414693497	Barthea22889	http://amigo.geneontology.org/amigo/term/GO:0008553
tricarboxylic acid cycle	Gene Ontology	GO:0006099	1	61	0.45814133682	0.653414693497	Barthea13823	http://amigo.geneontology.org/amigo/term/GO:0006099
protein N-linked glycosylation	Gene Ontology	GO:0006487	1	61	0.45814133682	0.653414693497	Barthea22912	http://amigo.geneontology.org/amigo/term/GO:0006487
